min tour length; max tour length
4067;6031
4067;5834
4067;5778
4067;5565
4067;5295
4067;5455
3944;5739
3922;5654
3446;5350
3446;5282
3446;5180
3446;4990
3446;5378
3446;4963
3398;5145
3398;5032
3398;4958
3398;5085
3398;4913
3398;4826
3398;5088
3398;5157
3398;5246
3398;5078
3398;5000
3398;4965
3398;4957
3398;5305
3315;5015
3315;5102
3315;5306
2713;5317
2713;5018
2713;4941
2713;4940
2713;4642
2713;4990
2713;4814
2713;5327
2713;4982
2713;4987
2713;4691
2713;4865
2713;4779
2713;4485
2713;4969
2713;5562
2713;5164
2713;5142
2713;5053
2713;5072
2713;5001
2713;4984
2713;5208
2713;4917
2713;5360
2713;4817
2606;5234
2606;4617
2606;4617
2606;5397
2606;4638
2606;5471
2606;4864
2606;4632
2606;4626
2606;4766
2606;4715
2606;4905
2606;4939
2606;4648
2606;4524
2606;4794
2606;5010
2606;4832
2606;4674
2606;4899
2606;4768
2606;5078
2606;5124
2606;4920
2606;4764
2606;4986
2606;4576
2606;4463
2606;4393
2606;4349
2606;4477
2606;4570
2606;4373
2606;4980
2606;4569
2606;4464
2606;4499
2606;4459
2606;5043
2606;4316
2606;4568
2606;5503
2606;4837
2606;4743
2606;4687
2606;4660
2606;4385
2606;4846
2606;4364
2606;4829
2606;4523
2606;4850
2606;4846
2606;5238
2606;5030
2606;5217
2606;5253
2606;4848
2606;4591
2606;4576
2606;4557
2606;4478
2606;4692
2606;5008
2606;5020
2606;4640
2606;4652
2606;4868
2606;5500
2606;5156
2606;5023
2606;4697
2606;4679
2606;4656
2606;4484
2606;4296
2606;4828
2606;4769
2606;4672
2606;4981
2606;4774
2606;4314
2606;4779
2606;4700
2606;4269
2606;4314
2606;4495
2606;4409
2606;4211
2606;4981
2606;4757
2606;4870
2606;4635
2606;4600
2606;4591
2606;4908
2606;4956
2606;4963
2606;5625
2606;4974
2606;4605
2606;5272
2606;5207
2606;4997
2606;5051
2606;4519
2606;4687
2606;5520
2606;5294
2606;4944
2606;5196
2606;5566
2606;4969
2606;5334
2606;5081
2606;4797
2606;4771
2606;4573
2606;5404
2606;5040
2606;5437
2606;4934
2606;4850
2606;4803
2606;4497
2606;4599
2606;4596
2606;4662
2606;5443
2606;5108
2606;4915
2606;4765
2606;4781
2606;5155
2606;5429
2606;5098
2606;4935
2606;5273
2606;4855
2606;4628
2606;4605
2606;4474
2606;4366
2606;4458
2606;4619
2606;4609
2606;4500
2606;4319
2606;5214
2606;4645
2606;4836
2606;4747
2606;5001
2606;4985
2606;4544
2606;4542
2606;4455
2606;4489
2606;5098
2606;4477
2606;4740
2606;5075
2606;4701
2606;4763
2485;4711
2485;5148
2485;5007
2485;4657
2485;4954
2485;4886
2485;5066
2485;5158
2485;4883
2485;4655
2485;4515
2485;4382
2485;5295
2485;4620
2485;4808
2485;4580
2485;4797
2485;4655
2485;4632
2385;4871
2335;4455
2335;5228
2335;4972
2335;5582
2335;5467
2335;4983
2335;5276
2335;5125
2335;5635
2335;5021
2335;4795
2335;4840
2335;4678
2335;4663
2335;5503
2335;5543
2335;5335
2335;5157
2335;5009
2335;5242
2335;4969
2335;4763
2335;4802
2335;4952
2332;5020
2332;5543
2332;4966
2332;5263
2332;5140
2332;5404
2332;5043
2332;5185
2332;5038
2332;5152
2332;4831
2332;4772
2332;5122
2332;5066
2302;4970
2302;4760
2302;4679
2302;4401
2302;4382
2302;4469
2302;4546
2302;4761
2302;5407
2302;4614
2302;4562
2302;4893
2302;4656
2302;4413
2302;4405
2302;4454
2302;4402
2302;4737
2302;4399
2302;4084
2302;4421
2302;4585
2302;4037
2302;3912
2302;3900
2302;4569
2302;4322
2302;4236
2302;4151
2302;3987
2302;3929
2302;4259
2302;4872
2302;4756
2302;5360
2302;4536
2302;4365
2302;4501
2302;4379
2302;4237
2302;4198
2302;4197
2302;4054
2302;4662
2302;4529
2059;4474
2059;4322
2059;4811
2059;4765
2059;4299
2059;4297
2059;4297
2059;4312
2059;4663
2059;5093
2059;4178
2059;4390
2059;4439
2059;4344
2059;4293
2059;4344
2059;4415
2059;4241
2059;4473
2059;4411
2059;4356
2059;4389
2059;4344
2059;4947
2059;4705
2059;4804
2059;4408
2059;4463
2059;4295
2059;4600
2059;4551
2059;4434
2059;4661
2059;4660
2059;4659
2059;5325
2059;4505
2059;4477
2059;4403
2059;4532
2059;4276
2035;5053
2035;4253
2035;4260
2035;4220
2025;4843
2025;4391
2025;4331
2025;4755
2025;4651
2025;5107
2025;4907
2025;4643
2025;4835
2025;4598
2025;4720
2025;4974
2025;4449
2025;5079
2025;4603
2025;4285
2025;4423
2025;4672
2025;5083
2025;3913
2025;4883
2025;4349
2025;4079
2025;3888
2025;3850
2025;4060
2025;4050
2025;4044
2025;4137
2025;4396
2025;4339
2025;4100
2025;4001
1941;4021
1941;3911
1941;4431
1941;4839
